rec,date,time,bar,close,high,low,f1,f2,f3
A,1260804,1400,90,74.40,75.39,73.95,U,89,75.4100
L,1260804,1400,90,74.40,75.39,73.95,L,0,71.9630
L,1260804,1400,90,74.40,75.39,73.95,L,1,68.3830
L,1260804,1400,90,74.40,75.39,73.95,L,2,71.5708
L,1260804,1400,90,74.40,75.39,73.95,L,3,83.4100
L,1260804,1400,90,74.40,75.39,73.95,L,4,91.4410
L,1260804,1400,90,74.40,75.39,73.95,L,5,85.1200
L,1260804,1500,91,74.14,74.56,74.06,L,0,74.2294
L,1260804,1500,91,74.14,74.56,74.06,L,1,72.2109
L,1260804,1500,91,74.14,74.56,74.06,L,2,68.5740
L,1260804,1500,91,74.14,74.56,74.06,L,3,71.8124
L,1260804,1500,91,74.14,74.56,74.06,L,4,83.8395
L,1260804,1500,91,74.14,74.56,74.06,L,5,91.9980
L,1260804,1500,91,74.14,74.56,74.06,L,6,85.5767
L,1260804,1600,92,74.44,74.57,74.11,L,0,74.5087
L,1260804,1600,92,74.44,74.57,74.11,L,1,72.4587
L,1260804,1600,92,74.44,74.57,74.11,L,2,68.7650
L,1260804,1600,92,74.44,74.57,74.11,L,3,72.0540
L,1260804,1600,92,74.44,74.57,74.11,L,4,84.2690
L,1260804,1600,92,74.44,74.57,74.11,L,5,92.5550
L,1260804,1600,92,74.44,74.57,74.11,L,6,86.0333
L,1260804,1700,93,74.61,74.69,74.30,L,0,74.7881
L,1260804,1700,93,74.61,74.69,74.30,L,1,72.7065
L,1260804,1700,93,74.61,74.69,74.30,L,2,68.9560
L,1260804,1700,93,74.61,74.69,74.30,L,3,72.2956
L,1260804,1700,93,74.61,74.69,74.30,L,4,84.6986
L,1260804,1700,93,74.61,74.69,74.30,L,5,93.1120
L,1260804,1700,93,74.61,74.69,74.30,L,6,86.4900
L,1260805,200,94,74.56,75.73,74.28,L,0,75.0675
L,1260805,200,94,74.56,75.73,74.28,L,1,72.9543
L,1260805,200,94,74.56,75.73,74.28,L,2,69.1470
L,1260805,200,94,74.56,75.73,74.28,L,3,72.5372
L,1260805,200,94,74.56,75.73,74.28,L,4,85.1281
L,1260805,200,94,74.56,75.73,74.28,L,5,93.6690
L,1260805,200,94,74.56,75.73,74.28,L,6,86.9467
A,1260805,300,95,74.74,74.98,74.40,U,94,75.7300
L,1260805,300,95,74.74,74.98,74.40,L,0,74.5476
L,1260805,300,95,74.74,74.98,74.40,L,1,75.3468
L,1260805,300,95,74.74,74.98,74.40,L,2,73.2022
L,1260805,300,95,74.74,74.98,74.40,L,3,69.3380
L,1260805,300,95,74.74,74.98,74.40,L,4,72.7788
L,1260805,300,95,74.74,74.98,74.40,L,5,85.5576
L,1260805,300,95,74.74,74.98,74.40,L,6,94.2260
L,1260805,300,95,74.74,74.98,74.40,L,7,87.4033
L,1260805,400,96,74.77,74.82,74.55,L,0,74.8152
L,1260805,400,96,74.77,74.82,74.55,L,1,75.6262
L,1260805,400,96,74.77,74.82,74.55,L,2,73.4500
L,1260805,400,96,74.77,74.82,74.55,L,3,69.5290
L,1260805,400,96,74.77,74.82,74.55,L,4,73.0204
