09:19:20 agg0 | 09:18:35.687 ti f10 c92 g40 e30 rq0 | boots_in_log=31 | info16s
09:19:21 *** AGG CHANGED: agg3554 -> agg0 ***
09:22:21 agg0 | 09:21:33.643 ti f10 c92 g40 e30 rq0 | boots_in_log=31 | info39s
09:25:21 agg69 | 09:23:48.998 ti f11 c90 g33 e34 rq0 | boots_in_log=31 | info9s
09:25:22 *** AGG CHANGED: agg0 -> agg69 ***
09:28:22 agg42 | 09:27:32.265 ti f11 c90 g41 e34 rq0 | boots_in_log=32 | info8s
09:28:22 *** AGG CHANGED: agg69 -> agg42 ***
09:31:22 agg216 | 09:27:32.265 ti f11 c90 g41 e34 rq0 | boots_in_log=32 | info14s
09:31:22 *** AGG CHANGED: agg42 -> agg216 ***
09:34:23 agg392 | 09:27:32.265 ti f11 c90 g41 e34 rq0 | boots_in_log=32 | info16s
09:34:23 *** AGG CHANGED: agg216 -> agg392 ***
09:37:23 agg0 | 09:37:18.397 ti f10 c92 g40 e30 rq0 | boots_in_log=33 | info0s
09:37:23 *** AGG CHANGED: agg392 -> agg0 ***
09:40:24 agg89 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info1s
09:40:24 *** AGG CHANGED: agg0 -> agg89 ***
09:43:24 agg264 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info6s
09:43:24 *** AGG CHANGED: agg89 -> agg264 ***
09:46:24 agg424 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info15s
09:46:25 *** AGG CHANGED: agg264 -> agg424 ***
09:49:25 agg600 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info13s
09:49:25 *** AGG CHANGED: agg424 -> agg600 ***
09:52:26 agg776 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
09:52:26 *** AGG CHANGED: agg600 -> agg776 ***
09:55:26 agg950 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
09:55:26 *** AGG CHANGED: agg776 -> agg950 ***
09:58:26 agg1134 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
09:58:27 *** AGG CHANGED: agg950 -> agg1134 ***
10:01:27 agg1278 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:01:27 *** AGG CHANGED: agg1134 -> agg1278 ***
10:04:27 agg1464 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:04:27 *** AGG CHANGED: agg1278 -> agg1464 ***
10:07:28 agg1613 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:07:28 *** AGG CHANGED: agg1464 -> agg1613 ***
10:10:28 agg1799 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info11s
10:10:28 *** AGG CHANGED: agg1613 -> agg1799 ***
10:13:28 agg2000 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info5s
10:13:29 *** AGG CHANGED: agg1799 -> agg2000 ***
10:16:29 agg2144 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:16:29 *** AGG CHANGED: agg2000 -> agg2144 ***
10:19:29 agg2322 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:19:29 *** AGG CHANGED: agg2144 -> agg2322 ***
10:22:30 agg2503 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:22:30 *** AGG CHANGED: agg2322 -> agg2503 ***
10:25:30 agg2675 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info17s
10:25:30 *** AGG CHANGED: agg2503 -> agg2675 ***
10:28:31 agg2851 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info3s
10:28:31 *** AGG CHANGED: agg2675 -> agg2851 ***
10:31:31 agg3020 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:31:31 *** AGG CHANGED: agg2851 -> agg3020 ***
10:34:31 agg3188 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:34:31 *** AGG CHANGED: agg3020 -> agg3188 ***
10:37:32 agg3380 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info4s
10:37:32 *** AGG CHANGED: agg3188 -> agg3380 ***
10:40:32 agg3572 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info9s
10:40:32 *** AGG CHANGED: agg3380 -> agg3572 ***
10:43:33 agg3732 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:43:33 *** AGG CHANGED: agg3572 -> agg3732 ***
10:46:33 agg3924 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info2s
10:46:33 *** AGG CHANGED: agg3732 -> agg3924 ***
10:49:33 agg4089 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info17s
10:49:34 *** AGG CHANGED: agg3924 -> agg4089 ***
10:52:34 agg4273 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info1s
10:52:34 *** AGG CHANGED: agg4089 -> agg4273 ***
10:55:34 agg4433 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
10:55:34 *** AGG CHANGED: agg4273 -> agg4433 ***
10:58:35 agg4624 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info10s
10:58:35 *** AGG CHANGED: agg4433 -> agg4624 ***
11:01:35 agg4782 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info15s
11:01:35 *** AGG CHANGED: agg4624 -> agg4782 ***
11:04:36 agg4959 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
11:04:36 *** AGG CHANGED: agg4782 -> agg4959 ***
11:07:36 agg5151 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info14s
11:07:36 *** AGG CHANGED: agg4959 -> agg5151 ***
11:10:37 agg5327 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
11:10:37 *** AGG CHANGED: agg5151 -> agg5327 ***
11:13:37 agg5473 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
11:13:37 *** AGG CHANGED: agg5327 -> agg5473 ***
11:16:37 agg5667 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info7s
11:16:38 *** AGG CHANGED: agg5473 -> agg5667 ***
11:19:38 agg5825 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
11:19:38 *** AGG CHANGED: agg5667 -> agg5825 ***
11:22:38 agg6015 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
11:22:38 *** AGG CHANGED: agg5825 -> agg6015 ***
11:25:39 agg6196 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info9s
11:25:39 *** AGG CHANGED: agg6015 -> agg6196 ***
11:28:39 agg6356 | 09:38:57.380 ti f11 c90 g40 e34 rq0 | boots_in_log=33 | info16s
11:28:39 *** AGG CHANGED: agg6196 -> agg6356 ***
