class,id,group,last_post,fwVer,fwVerTi,tiUartVer,boots_24h,posts_24h,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,deviceState,VddAdc,meterVal
failed_cal,263a57c0-65c0-11f1-9333-3b2cfe68422f,Bannock MHP,09/13 09:45,17032,344,344,0,4,4,0,0,24,Failed Cal,3664,61
failed_cal,26526860-8b77-11f1-a1a6-391af391818e,All,09/12 11:27,17037,344,344,0,2,20,0,0,29,Failed Cal,3672,0
failed_cal,26817030-86ac-11f1-a1a6-391af391818e,Lakewood MH Park,09/13 09:43,17037,344,344,0,4,4,0,0,24,Failed Cal,3676,0
failed_cal,269a3d00-845e-11f0-8b4a-0d0197d44616,GENII Production Failures,09/12 12:09,16185,314,314,0,2,6,0,0,2,Not Metering,3659,11573
failed_cal,26f26880-9b47-11f1-a1a6-391af391818e,All,09/13 08:28,17037,344,344,0,2,4,0,0,1,Failed Cal,3675,0
failed_cal,2756cc30-a0c4-11f1-a1a6-391af391818e,All,09/13 10:03,17037,344,344,0,0,4,0,0,1,Failed Cal,3672,0
failed_cal,27a31770-a0c4-11f1-a1a6-391af391818e,All,09/13 09:36,17037,344,344,0,2,4,0,0,1,Failed Cal,3670,0
failed_cal,27c6e670-89f7-11f1-a1a6-391af391818e,All,09/13 08:54,17037,344,344,0,2,6,0,0,5,Failed Cal,3679,0
failed_cal,27f03c70-6c13-11f1-9333-3b2cfe68422f,All,09/12 10:14,17037,344,344,0,2,6,0,0,24,Failed Cal,3681,0
failed_cal,28b22210-89fd-11f1-a1a6-391af391818e,All,09/13 08:53,17037,344,344,0,2,20,0,0,14,Failed Cal,3667,0
failed_cal,29509e40-89f8-11f1-a1a6-391af391818e,All,09/13 07:31,17037,344,344,0,2,6,0,0,5,Failed Cal,3675,0
failed_cal,299c1230-8ad4-11f1-a1a6-391af391818e,All,09/13 08:35,17037,344,344,0,2,6,0,0,5,Failed Cal,3672,0
failed_cal,29b5efc0-a262-11f1-a1a6-391af391818e,All,09/12 12:26,17037,344,344,0,1,4,0,0,1,Failed Cal,3669,0
failed_cal,2a31e8f0-0c35-11f1-8768-5551e7a34f27,All,09/13 09:44,17037,344,344,1,6,20,0,0,1,Failed Cal,3653,0
failed_cal,2a484c10-a959-11f0-98a7-c3bc57f9afe3,All,09/12 10:57,16185,314,314,0,2,6,0,0,1,Not Metering,3660,0
failed_cal,2a5fd770-8a10-11f1-a1a6-391af391818e,All,09/13 09:34,17037,344,344,0,2,20,0,0,24,Failed Cal,3673,0
failed_cal,2a8c7fb0-a63e-11f1-a1a6-391af391818e,All,09/13 09:02,17037,344,344,0,18,4,0,0,1,Failed Cal,3641,0
failed_cal,2a8c9e90-0285-11f0-92a4-09772dfb61f8,TN4,09/13 07:51,17078,391,391,1,6,20,0,0,5,Failed Cal,3635,22792
failed_cal,2acef1d0-a63c-11f1-a1a6-391af391818e,All,09/13 08:21,17037,344,344,0,14,4,0,0,1,Failed Cal,3643,0
failed_cal,2b18d130-38b8-11f0-8e55-b138a1c03c8e,Mena Estates MHC,09/13 09:38,16185,314,314,0,2,4,0,0,2,Not Metering,3663,0
failed_cal,2b8e14d0-8aed-11f1-a1a6-391af391818e,All,09/12 11:45,17037,344,344,0,2,6,0,0,35,Failed Cal,3674,0
failed_cal,2bb6e0c0-9a72-11f0-b5af-5dfa9891b485,All,09/13 08:50,17037,344,344,0,2,4,0,0,5,Failed Cal,3659,8
failed_cal,2bcf34b0-a645-11f1-a1a6-391af391818e,All,09/13 09:55,17037,344,344,0,4,20,0,0,1,Failed Cal,3667,0
failed_cal,2c986fd0-48c9-11f1-bc16-b52012ce6db2,GENII Production Failures,09/12 09:46,16185,314,314,0,0,6,0,0,3,Not Metering,3665,0
failed_cal,2d967c30-d4c8-11f0-b691-d965a62fa4fa,GENII Production Failures,09/13 09:37,16185,314,314,0,4,6,0,0,1,Not Metering,3647,7522
