id,group,groups,class,last_post,age_d,posts_24h,boots_24h,fwVer,fwVerTi,tiUartVer,bBootCount,bootReasonFlags,tifota_lastFailedVer,tifota_config_err,tiBslOkCnt,VddAdc,deviceState,failedCal,tiError,tiRecoveryExhausted,tiParked,sfProbeHeld,radioOveruseCnt,meterVal,tiBootCnt
02c797e0-86df-11f1-a1a6-391af391818e,Smitty's MHP,2,ok,09/13 09:52,0.0,2,0,17037,344,344,45,4,0,0,5,3678,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,4578.042,8
02cc1700-04b7-11ee-b15d-e3ac404013cb,Refurb L SB,2,stale,02/13 02:44,212.3,0,,10671,,,19,4,,,,,Standby,,,,,,1,45,
02d64650-1c60-11ef-b5d9-bf75c1762495,Highland Terrace,2,ti_dead,09/12 03:04,1.3,0,0,10671,,,11,20,,,,,Metering,,,,,,1,37222,
02dcb340-6c14-11f1-9333-3b2cfe68422f,All,2,failed_cal,09/13 09:53,0.0,2,0,17037,344,344,26,20,0,0,24,3661,Failed Cal,true,00000000 00000000 00000000 0000E000 00000380 00000000 00000000 00000000,0,,,1,0,9
02e93240-4d00-11ee-b7e1-39727005a827,All,2,ti_dead+failed_cal,09/10 03:34,3.3,0,0,10706,,,38,20,,,,,Failed Calibration,,,,,,1,13871,
02eb4ec0-f61f-11f0-b153-63024d3301e1,Holly Tree MHP,2,ok,09/13 08:32,0.1,1,0,16185,314,314,58,4,0,0,1,3655,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,2588.418,16
02ed4f50-c7cb-11ef-8f43-73c96c0de66f,Sunset MHP,2,stale,02/06 09:00,584.0,0,,10175,22,,17,6,,,,,Not Metering,,No signal detected in both upstream and downstream channels.,,,,1,0,
02ee7e60-47f5-11f1-969c-6109d9dfb138,All,2,stale,05/04 14:31,131.8,0,,15155,260,,19,4,,0,,3612,Not Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,0,0,
02f0dc70-89ed-11f1-a1a6-391af391818e,All,2,failed_cal,09/13 08:24,0.1,2,0,17037,344,344,36,4,0,0,38,3675,Failed Cal,true,00000000 00000000 00000000 0000E000 00000280 00000000 00000000 00000000,0,,,1,0,8
02f38a10-9e0a-11ed-8426-5912eec2be3c,Eastpointe,2,stale,12/08 05:54,644.1,0,,10671,,,52,6,,,,,Metering,,,,,,1,38402,
02fa92f0-19af-11ec-94c5-95a06fbff7ce,Canyon Heights,2,stale,06/18 08:45,1548.0,0,,10420,,,19,,,,,,Metering,,,,,,,5560.17,
03088dc0-1990-11ec-94c5-95a06fbff7ce,Canyon Heights,2,stale,08/13 05:41,1127.2,0,,10574,,,35,,,,,,Metering,,,,,,,11225,
030b6090-9429-11ec-a577-bf676923aa1d,Country Squire MHC,2,ti_dead,09/11 04:17,2.2,0,0,10706,,,23,6,,,,,Metering,,,,,,1,127559,
030e0ce0-405e-11ee-af4e-2b411221b2af,Tucson East,2,ti_dead,09/10 06:03,3.2,0,0,10671,,,26,6,,,,,Metering,,,,,,1,29769,
0311bdc0-5224-11f0-acb1-514e01860b07,All,2,stale,11/12 11:37,304.9,0,,10292,159,,12,4,,,,,Not Metering,,,,,,1,0,
03125140-39d7-11f1-b198-172a4a9f25c9,Paola MHC,2,ok,09/07 22:58,5.5,0,0,17037,344,344,65,20,0,0,1,3641,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,3,18013.855,2
032da1d0-1b18-11ec-94c5-95a06fbff7ce,Grove,2,stale,02/16 07:18,209.1,0,,10706,,,64,20,,,,,Metering,,,,,,1,135103,
0332a8c0-a943-11f0-98a7-c3bc57f9afe3,Crystal Acres MHC,2,ok,09/13 08:28,0.1,2,0,17037,344,344,31,6,0,0,3,3647,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,15933.35,2
03394c70-c7cb-11ef-8f43-73c96c0de66f,Aurora MHC,2,stale,06/18 03:17,87.3,0,,16022,260,,30,4,,0,,3658,Metering,,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,,,,1,8484.05,
035526d0-520d-11f0-acb1-514e01860b07,All,2,stale,06/25 15:21,444.8,0,,10231,133,,30,6,,,,,Not Metering,,,,,,1,0,
035bb500-7208-11ed-b9b4-b5291c26d4ab,Ridgewood Gardens,2,stale,10/10 06:07,703.2,0,,10671,,,3,6,,,,,Standby,,,,,,1,63337,
0360b4c0-9e5a-11f0-b5af-5dfa9891b485,Holly Tree MHP,2,ok,09/13 06:50,0.1,2,0,16185,314,559,34,6,0,0,1,3648,Metering,false,00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000,0,,,1,11000.676,1
