name,devname,Property,pipeType,pipesize,pin_blank,pin_capture,pin_calMinBlank,pin_lFactor,fwVer,fwVerTi,state,gain,env,blank,capture,tnQuietSd,tnQuietN,offset,tofA_us,tofB_us,tofA_ts
0d2ca640-4d6d-11f1-b1bb-f3574cce671d,Device 75365906,Virginia Beach,X,¾,,,,,17037,344,Metering,26,45,32,15,,,1490,37.192444,37.193824,09/17 09:52
6c041a10-0c93-11f1-8768-5551e7a34f27,Device 75365914,Pleasant Acres,X,¾,,,,,16131,296,Metering,35,33,32,15,,,-4480,35.383908,35.37916,09/18 01:05
a261dc70-603d-11f1-89ca-a986714faa23,Device 75365922,River Bend,X,½,,,,,17037,344,Metering,44,43,26,15,,,-7467,29.4115,29.406024,09/16 01:19
d4540150-48bd-11f1-bc16-b52012ce6db2,Device 75365930,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
a0bec540-3e87-11f1-b39d-b550dfb4ab8b,Device 75365948,J&L MHP,X,¾,,,,,17037,344,Metering,26,35,32,15,,,-5017,36.574952,36.570592,
2391b1e0-4b25-11f1-bc16-b52012ce6db2,Device 75365955,Oakwood MHP,X,¾,,,,,17088,391,Metering,30,38,34,15,,,-2571,36.99764,36.994628,09/18 10:23
1012bff0-0dd7-11f1-85e5-65eb60735c3d,Device 75365963,,,,,,,,356,194,Not Metering,0,0,0,0,,,1,,,12/31 16:00
e7a13a10-5a07-11f1-b1bb-f3574cce671d,Device 75365971,Noble Estates MHC,X,¾,,,,,16185,0,Not Metering,0,0,0,0,,,0,0.0,0.0,06/16 07:02
223c0aa0-6026-11f1-89ca-a986714faa23,Device 75365989,The O in La Marque,X,1,,,,,16185,314,Metering,30,52,41,15,,,-2304,43.491936,43.489292,09/18 04:06
26db2d00-48b3-11f1-bc16-b52012ce6db2,Device 75365997,,,,,,,,15155,260,Not Metering,35,33,35,15,,,0,,,12/31 16:00
d12ff3e0-4d71-11f1-b1bb-f3574cce671d,Device 75366003,Broken Arrow MHP,X,¾,,,,,17037,344,Metering,50,37,34,15,,,-1472,36.788368,36.791412,09/18 15:34
c87feca0-545b-11f1-b1bb-f3574cce671d,Device 75366011,Shady Lane MHP,X,¾,,,,,17088,391,Metering,23,38,33,15,,,-2425,36.64592,36.642256,
9c223b40-5497-11f1-b1bb-f3574cce671d,Device 75366029,Shady Lane MHP,X,¾,,,,,17088,391,Metering,26,42,33,15,,,-2051,36.577748,36.575684,09/18 04:44
15374150-0c91-11f1-8768-5551e7a34f27,Device 75366037,Oaklawn Park HOA,C,¾,,,,,15090,254,Metering,18,43,30,15,,,1152,37.132524,37.134524,
5cf4c6c0-6c13-11f1-9333-3b2cfe68422f,Device 75366045,Kay Lou MHC,X,¾,,,,,16131,296,Metering,30,34,33,15,,,-512,36.751432,36.751104,09/17 19:44
a9bde800-59f9-11f1-b1bb-f3574cce671d,Device 75366052,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
4c765040-4ce5-11f1-b1bb-f3574cce671d,Device 75366060,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
07537930-4d66-11f1-b1bb-f3574cce671d,Device 75366078,Kingsbrook MHC,X,¾,,,,,16131,296,Metering,40,37,33,15,,,-1024,35.908516,35.906772,09/18 02:09
55c3c0b0-4ce5-11f1-b1bb-f3574cce671d,Device 75366086,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,32,43,32,15,,,-3994,36.296888,36.292736,09/18 08:20
f888b190-4d01-11f1-b1bb-f3574cce671d,Device 75366094,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,26,35,32,15,,,1256,36.393168,36.393992,08/06 08:07
dc6c57f0-4d01-11f1-b1bb-f3574cce671d,Device 75366102,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,35,41,32,15,,,-2804,36.274476,36.271116,09/09 09:21
c70a8320-4804-11f1-969c-6109d9dfb138,Device 75366110,Heritage Apartments,C,¾,,,,,16131,296,Metering,35,33,33,15,,,-6144,37.482064,37.476516,09/17 12:59
080b78a0-4802-11f1-969c-6109d9dfb138,Device 75366128,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
cc6299d0-0c35-11f1-8768-5551e7a34f27,Device 75366136,Big Country Mobile Home & RV Park,X,¾,,,,,16131,296,Metering,20,59,32,15,,,512,35.69132,35.695308,
50a89990-4d38-11f1-b1bb-f3574cce671d,Device 75366144,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,29,39,32,15,,,-2693,35.95912,35.95724,09/18 07:51
83146750-012b-11f1-8726-d3fa6d0d96af,Device 75366151,Eastwood Hills MHC,P,¾,,,,,362,209,Metering,34,33,35,10,,,-64,39.338048,39.34048,
93d71700-3f4b-11f1-b39d-b550dfb4ab8b,Device 75366169,Auburn MHC,X,¾,,,,,17037,344,Metering,32,39,33,15,,,1920,36.822744,36.824524,
81cce380-fe07-11f0-8726-d3fa6d0d96af,Device 75366177,Highlands MHC,P,¾,,,,,16185,314,Metering,30,44,36,15,,,-1536,39.309664,39.302416,
fbd69040-f61e-11f0-b153-63024d3301e1,Device 75366185,River Bend,X,½,,,,,17037,344,Metering,44,50,25,15,,,-1718,28.906196,27.937504,
d416ff20-3e87-11f1-b39d-b550dfb4ab8b,Device 75366193,J&L MHP,X,¾,,,,,17037,344,Metering,26,35,32,15,,,-6202,35.888028,35.86276,
74eea680-f317-11f0-8900-8bd481ce9a44,Device 75366201,Southern Cross MHC,C,¾,,,,,362,209,Metering,21,34,30,15,,,7680,37.060932,37.066556,
d3e84270-4d37-11f1-b1bb-f3574cce671d,Device 75366219,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,26,39,32,15,,,-2303,36.705956,36.704332,09/18 05:54
aa3cce20-47f4-11f1-969c-6109d9dfb138,Device 75366227,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
a94d73c0-48b2-11f1-bc16-b52012ce6db2,Device 75366235,,,,,,,,15155,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
a5467c60-4b21-11f1-bc16-b52012ce6db2,Device 75366243,Oakwood MHP,X,½,,,,,17037,344,Metering,29,44,27,15,,,4059,29.608084,29.611868,09/18 08:18
1a0c6640-6026-11f1-89ca-a986714faa23,Device 75366250,The O in La Marque,C,¾,,,,,16185,314,Metering,35,50,34,15,,,2688,37.286572,37.287176,09/17 12:48
081c9600-4cec-11f1-b1bb-f3574cce671d,Device 75366268,Grand Valley Estates MHC,X,¾,,,,,17037,344,Metering,32,41,32,15,,,-238,36.521712,36.520664,09/18 07:21
67b51bb0-65be-11f1-9333-3b2cfe68422f,Device 75366276,Bannock MHP,,,,,,,17032,344,Failed Cal,55,30,25,30,,,0,24.794656,24.91336,07/08 01:17
538988b0-65be-11f1-9333-3b2cfe68422f,Device 75366284,Kay Lou MHC,P,¾,,,,,16131,296,Metering,25,33,33,15,,,768,37.602112,37.601312,09/18 00:57
a1613a40-0b57-11f1-a3d9-c99c67c82bc1,Device 75366292,Roosevelt MHC,M,¾,,,,,17037,344,Metering,35,49,38,15,,,2130,39.421668,39.421844,
e2c812d0-6c12-11f1-9333-3b2cfe68422f,Device 75366300,Kay Lou MHC,P,¾,,,,,16131,296,Metering,40,33,36,15,,,-1664,39.302972,39.299696,07/23 10:34
48119c90-602b-11f1-89ca-a986714faa23,Device 75366318,The O in La Marque,X,¾,,,,,16185,314,Metering,25,59,33,15,,,-1536,37.542148,37.540332,09/18 09:29
5680f6c0-65be-11f1-9333-3b2cfe68422f,Device 75366326,Oswego MHP,X,¾,,,,,17037,344,Metering,44,47,33,15,,,10511,36.656464,36.666,09/18 09:49
a2882620-47f4-11f1-969c-6109d9dfb138,Device 75366334,Alta Vista MHC,C,¾,,,,,16048,272,Metering,36,33,34,15,,,4224,36.65344,36.657712,06/06 04:07
23e93320-6c13-11f1-9333-3b2cfe68422f,Device 75366342,Kay Lou MHC,P,¾,,,,,16131,296,Metering,25,57,36,15,,,-1152,45.467072,45.467104,09/18 03:40
f56e57f0-39d6-11f1-b198-172a4a9f25c9,Device 75366359,Ontario Place MHC,X,¾,,,,,16185,314,Metering,30,68,33,15,,,-512,36.084364,36.084632,
154e8a90-52f5-11f1-b1bb-f3574cce671d,Device 75366375,,,,,,,,16022,260,Not Metering,35,33,0,0,,,0,,,12/31 16:00
66039b20-65be-11f1-9333-3b2cfe68422f,Device 75366383,,,,,,,,17088,391,Calibrating,40,30,25,30,,,0,0.0,0.0,07/08 00:17
3e5a6330-4d66-11f1-b1bb-f3574cce671d,Device 75366391,Westview Mobile Estates MHC,X,¾,,,,,17037,344,Metering,29,35,32,15,,,1025,36.900536,36.902764,
306d9670-0c3e-11f1-8768-5551e7a34f27,Device 75366409,Hydetown Mobile Estates,X,½,,,,,17037,344,Metering,35,43,26,15,,,-850,29.964948,29.965704,
750726c0-f186-11f0-8900-8bd481ce9a44,Device 75366417,Johnson's Trailer Park,X,½,,,,,17037,344,Metering,38,35,26,15,,,-3301,29.041724,29.038752,09/18 06:04
eeb49150-4cc7-11f1-b1bb-f3574cce671d,Device 75366425,Haven MHP,X,¾,,,,,16131,296,Metering,50,60,29,15,,,-2688,38.070956,38.068264,09/18 05:39
e16e0de0-52f4-11f1-b1bb-f3574cce671d,Device 75366433,Stafford MHC,P,¾,,,,,16185,314,Metering,35,61,37,15,,,-2304,40.125984,40.123068,09/18 06:52
