serial,property,apartment,fwVerTi,gain,up_ppk,tnormStddev,flag
72717020,Backwater MHC,26-2OF2,344,44,286,898,NOISY-COMMIT
72382508,Virginia Beach,195,344,41,2441,890,NOISY-COMMIT
79455380,Virginia Beach,56,344,32,1107,886,NOISY-COMMIT
75374585,Parker MHC,53,344,41,1108,868,NOISY-COMMIT
77041376,Parkway MHC,37,344,44,781,857,NOISY-COMMIT
75369460,Big Country Mobile Home & RV Park,3610-D,344,41,437,854,NOISY-COMMIT
70265606,Whispering Pines Mobile Estates,513,314,30,881,831,NOISY-COMMIT
75361525,Oaklawn Park HOA,3459SOC,314,25,575,831,NOISY-COMMIT
79463160,Grand Valley Estates MHC,31-IMPERIALVALLEY-DR,344,38,1755,822,NOISY-COMMIT
72717350,Azulejo,1104,296,30,898,821,NOISY-COMMIT
75368181,Broadway MHP DesMoines,25,344,44,2186,793,NOISY-COMMIT
79462048,Holly Tree MHP,39,344,35,1746,785,NOISY-COMMIT
75362358,Grand Valley Estates MHC,45-GRANDVALLEY-DR,344,35,1654,768,NOISY-COMMIT
72724364,Mission Apartments,8936,296,55,442,764,NOISY-COMMIT
72384793,Rustic Acres MHC,48,314,40,693,756,NOISY-COMMIT
65829221,Roosevelt MHC,62,296,55,425,747,NOISY-COMMIT
77057620,Holly Tree MHP,28,314,35,960,739,NOISY-COMMIT
75363588,Pleasant Acres,9,296,35,1846,730,NOISY-COMMIT
70258379,PW2,5203JUSTIN,314,20,560,725,NOISY-COMMIT
77041996,Holly Tree MHP,65,314,20,1089,722,NOISY-COMMIT
72714019,Hillview MHC,12,344,44,1223,720,NOISY-COMMIT
79467005,Stafford MHC,345,314,30,523,706,NOISY-COMMIT
72382722,Ponderosa MHC,17,344,35,2252,701,NOISY-COMMIT
75369502,Pace East,11,314,55,539,696,NOISY-COMMIT
70258650,2Freedom,26,344,38,929,674,NOISY-COMMIT
72723416,Rusk MHC,52,344,47,1017,666,NOISY-COMMIT
79453658,Grand Valley Estates MHC,3-AMOSVALLEY-DR,344,26,680,640,NOISY-COMMIT
70266117,Backwater MHC,38,344,41,2173,628,NOISY-COMMIT
70259740,Country Squire MHC,53B,314,40,2122,627,NOISY-COMMIT
72718911,Wildwood Estates MHC,2,314,40,704,626,NOISY-COMMIT
75372829,Wildwood Estates MHC,A9,296,55,400,618,NOISY-COMMIT
72722236,Estancia MHP,173,344,35,452,606,NOISY-COMMIT
72388190,Ponderosa MHC,15,344,41,1058,598,NOISY-COMMIT
79454748,Oswego MHP,LOT28,344,47,661,587,NOISY-COMMIT
75372522,Hydetown Mobile Estates,4,344,26,1174,579,NOISY-COMMIT
79461461,Grand Valley Estates MHC,23-AMOSVALLEY-DR,344,41,1464,578,NOISY-COMMIT
72391236,La Comunidad MHC,65,314,35,796,578,NOISY-COMMIT
