serial,property,fwVer,fwVerTi,ageDays,dropouts120d,qual0frac30d,qualN,hardResets,tier
65823430,Sara Drive MHP,362,209,619,0,0.00,54,0,OK
65823448,Fair Meadows MHC,16022,260,619,0,0.00,30,0,OK
65823463,Delaware St Quadplex,362,209,285,0,0.00,57,0,OK
65823489,Shady Lane MHP,17028,341,447,1,0.23,69,0,MED
65823497,Oaklawn Park HOA,15090,254,619,0,0.00,30,0,OK
65823521,Sara Drive MHP,362,209,599,0,0.00,57,0,OK
65823596,Alta Vista MHC,363,219,601,0,0.00,60,0,OK
65823638,Parkwood,16131,296,591,0,0.00,30,0,OK
65823687,Forest at Sherman MHC,16185,314,602,1,0.00,132,2,MED
65823711,Oaklawn Park HOA,15090,254,599,0,0.00,30,0,OK
65823729,Eastwood Hills MHC,362,209,599,0,0.00,60,0,OK
65823737,Aurora MHC,16022,260,613,0,0.00,30,0,OK
65823752,Oaklawn Park HOA,15090,254,619,0,0.00,29,0,OK
65823802,Parkview MHP,16130,296,613,0,0.00,31,0,OK
65823810,Westview Mobile Estates MHC,362,209,591,0,0.00,60,0,OK
65823836,Parker MHC,362,209,601,0,0.00,60,0,OK
65823851,Maple Run MHC,362,209,452,0,0.00,53,0,OK
65823893,Maple Run MHC,362,209,613,0,0.00,60,0,OK
65823901,Alta Vista MHC,16185,314,613,1,0.00,60,2,MED
65823927,Alta Vista MHC,16185,314,599,1,0.00,111,2,MED
65823950,Parkway MHC,17032,344,591,1,0.02,61,0,MED
65824008,Kingsbrook MHC,16131,296,451,0,0.00,29,0,OK
65824040,Estancia MHP,15147,256,494,0,0.00,28,0,OK
65824065,Aurora MHC,16022,260,558,0,0.00,30,0,OK
65824107,Green Grove Trailer Court MHC,16131,296,613,0,0.00,30,0,OK
65824149,Oaklawn Park HOA,16185,314,613,1,0.02,48,2,MED
65824172,Estancia MHP,15147,256,562,0,0.00,31,0,OK
65824214,Canada,17037,344,452,1,0.05,64,0,MED
65824222,Lantana Trail,15154,260,511,0,0.00,120,0,OK
65824230,Aurora MHC,16022,260,452,0,0.00,30,0,OK
65824289,The Oaks MHC,16131,296,613,0,0.00,30,0,OK
65824321,Parkview MHP,16130,296,462,0,0.00,32,0,OK
65824347,Estancia MHP,15147,256,480,0,0.00,30,0,OK
65824370,PW2,16022,260,569,0,0.00,29,0,OK
65824388,Parkview MHP,17037,344,567,1,0.03,66,0,MED
65824404,Aurora MHC,16022,260,481,0,0.00,30,0,OK
65824412,Holly Tree MHP,16185,314,481,1,0.00,60,2,MED
65824438,Arizona Manor,362,209,481,0,0.00,59,0,OK
65824446,Lakeview MHC,362,209,480,0,0.00,60,0,OK
65824461,Coleman Village MHC,16185,314,619,1,0.00,60,2,MED
65824511,Estancia MHP,16128,295,562,0,0.00,58,0,OK
65824545,PW2,16185,314,527,1,0.00,68,2,MED
65824552,Forest at Sherman MHC,16185,314,527,1,0.00,59,2,MED
65824560,Sara Drive MHP,362,209,527,0,0.00,60,0,OK
65824586,Ontario Place MHC,16185,314,569,1,0.00,55,2,MED
65824594,Sky Run,16131,296,494,0,0.00,30,0,OK
65824610,Maple Run MHC,362,209,557,0,0.00,60,0,OK
65824628,Alta Vista MHC,363,219,557,0,0.00,60,0,OK
65824636,Eastwood Hills MHC,362,209,526,0,0.00,59,0,OK
65824669,Eastwood Hills MHC,362,209,591,0,0.00,58,0,OK
65824719,Sara Drive MHP,362,209,451,0,0.00,59,0,OK
65824750,Kingsbrook MHC,16022,260,526,0,0.00,27,0,OK
65824768,Estancia MHP,15147,256,564,0,0.00,30,0,OK
65824776,Oaklawn Park HOA,15090,254,570,0,0.00,30,0,OK
65824784,Alta Vista MHC,16185,314,563,1,0.00,60,2,MED
65824792,Forest at Sherman MHC,362,209,526,0,0.00,52,0,OK
65824800,Oak Forest Estate MHC,17037,344,557,1,0.01,71,0,MED
65824818,Parkway MHC,16022,260,462,0,0.00,30,0,OK
65824842,Alta Vista MHC,16185,314,591,1,0.00,66,2,MED
65824875,PW2,16185,314,599,1,0.00,59,2,MED
65824909,Alta Vista MHC,363,219,599,0,0.00,60,0,OK
65824917,Shady Lane MHP,17028,341,481,1,0.30,73,0,MED
65824925,Westview Mobile Estates MHC,362,209,562,0,0.00,59,0,OK
65824933,Parkway MHC,16022,260,569,0,0.00,30,0,OK
65824982,Forest at Sherman MHC,17037,344,599,1,0.06,48,0,MED
65824990,Holly Tree MHP,16185,314,481,1,0.00,59,2,MED
65825047,Estancia MHP,16185,314,613,1,0.00,81,2,MED
65825062,Virginia Beach,17037,344,614,1,0.11,66,0,MED
65825070,Oaklawn Park HOA,15090,254,613,0,0.00,30,0,OK
65825088,The Oaks MHC,16131,296,613,0,0.00,30,0,OK
65825104,Westview Mobile Estates MHC,362,209,619,0,0.00,60,0,OK
