group,serial,id,apt,state,fw,fwti,gain,tiPulse,crash,seen_h,nowater,pipe
Maple Run MHC,77060038,c4a8bc10-61db-11f0-8658-7f4e94e41769,137,Not Metering,16048,272,45,,0,2438.6,false,P ¾
Maple Run MHC-CUST,70260896,fa1630b0-6133-11f0-9fcd-87e94e720126,110,Calibrating,17060,368,40,6,0,10.5,false,X ¾
Maple Run MHC-CUST,70266901,d4013360-62b0-11f0-8658-7f4e94e41769,11,Failed Cal,17060,368,55,13,1,11.9,false,P ¾
Mena Estates MHC,72390634,ad86de10-98f2-11f0-b5af-5dfa9891b485,139BONNER,Calibrating,17060,368,40,13,0,9.8,false,C ¾
Minot Gardens MHC-Cust,70264963,98e8be20-62c3-11f0-8658-7f4e94e41769,,Failed Cal,17040,354,55,,0,33.6,false, 
Minot Gardens MHC-Cust,70260771,7c85a5c0-666c-11f0-8658-7f4e94e41769,28,Not Metering,16128,260,100,,0,1312.3,false,X ¾
Minot Gardens MHC-Cust,65825336,ccdd3e90-e66d-11ef-bcd4-5bcca9a9134f,44,Not Metering,16185,0,0,,0,587.3,false,X ¾
Minot Gardens MHC-Cust,70271109,df879e80-629d-11f0-8658-7f4e94e41769,57,Not Metering,15130,256,0,,0,3438.1,false,X ¾
Minot Gardens MHC-Cust,65829262,a0899510-be35-11ef-8f43-73c96c0de66f,71,Not Metering,362,209,0,,0,4702.6,false,X ¾
Minot Gardens MHC-Cust,65831664,afd7e170-bb60-11ef-8f43-73c96c0de66f,90,Not Metering,15154,256,35,,0,2798.4,false,X ¾
Mountaineer Village MHC,72720776,8cc91540-c4f7-11f0-9842-6d029661c338,,Failed Cal,17040,354,55,,0,249.4,false,X ¾
Mountaineer Village MHC,72722079,832ac5b0-c4f7-11f0-9842-6d029661c338,25,Failed Cal,17060,368,55,6,0,58.6,false,X ¾
Needham MHP,72716675,9ed187c0-d79b-11f0-b691-d965a62fa4fa,16,Failed Cal,17060,368,55,13,0,9.4,false,P ¾
Needham MHP,75361335,d6aa42e0-012b-11f1-8726-d3fa6d0d96af,17,Not Metering,362,209,41,,0,3926.4,false,P ¾
Needham MHP,72715487,e64a61f0-d226-11f0-b691-d965a62fa4fa,6,Not Metering,16185,0,0,,0,1066.8,false,P ¾
Noble Estates MHC-Cust,75362648,5d894300-0c36-11f1-8768-5551e7a34f27,566,Calibrating,17060,368,40,13,1,8.9,false,X ¾
Noble Estates MHC-Cust,72720305,43c31f50-0c3f-11f1-8768-5551e7a34f27,,Failed Cal,17060,368,55,13,0,9.4,false,P ¾
Noble Estates MHC-Cust,75373074,77f745d0-0c35-11f1-8768-5551e7a34f27,535,Failed Cal,17060,368,55,6,0,9.4,false,X ¾
Noble Estates MHC-Cust,75362770,5fba2890-3aa0-11f1-b198-172a4a9f25c9,525,Not Metering,16130,296,55,,5,2100.4,false,X ¾
Noble Estates MHC-Cust,75365971,e7a13a10-5a07-11f1-b1bb-f3574cce671d,544,Not Metering,16185,0,0,,0,10.4,false,X ¾
Oak Forest Estate MHC,75368561,eff5e370-0c67-11f1-8768-5551e7a34f27,20,Calibrating,17058,365,40,,7,57.5,false,X ¾
Oak Forest Estate MHC,77058511,5b8a2ab0-3d8d-11f0-8e55-b138a1c03c8e,36,Failed Cal,17037,344,55,,0,9.7,false,X ¾
Oak Forest Estate MHC,72389206,e1f8a710-84e2-11f0-8b4a-0d0197d44616,21,Not Metering,16185,0,0,,0,730.5,false,P ¾
Oak Forest Estate MHC,77061747,8d343250-4151-11f0-8e55-b138a1c03c8e,30,Not Metering,16185,0,0,,2,993.2,false,X ¾
Oaklawn Park HOA - Cust,72383209,1b0d18d0-8379-11f0-8b4a-0d0197d44616,3405SOC,Calibrating,17060,368,40,13,0,11.5,false,C ¾
Oakwood MHP,75367316,5cc0d710-4d6a-11f1-b1bb-f3574cce671d,118-OLD,Calibrating,17037,344,40,,0,9.4,false,X ¾
Oakwood MHP,75368991,5e41ee40-4d69-11f1-b1bb-f3574cce671d,107-REMOVED,Failed Cal,17060,368,26,13,0,8.6,false,X ½
Oakwood MHP,75364313,7daa9410-4d66-11f1-b1bb-f3574cce671d,23-OLD,Failed Cal,17060,368,55,13,0,7.6,false,X ¾
Oakwood MHP,79461826,39c48760-4d66-11f1-b1bb-f3574cce671d,70-REMOVED,Failed Cal,17060,368,55,13,0,5.8,false,M ¾
Oakwood MHP,65827241,7931df10-e313-11ef-a5fd-a97d57576080,91,Failed Cal,17060,368,55,13,0,9.6,false,X ½
Oakwood MHP,70262231,75462230-ad43-11f0-98a7-c3bc57f9afe3,123,Not Metering,16048,272,45,,0,2439.2,false,P ¾
Oakwood MHP,70261662,a3069770-66b4-11f0-8658-7f4e94e41769,45,Not Metering,362,209,41,,87,3063.5,false,K ½
Ontario Place MHC-CUST,72381773,9b90fef0-9fc5-11f0-b5af-5dfa9891b485,91,Not Metering,16185,0,0,,592,11.2,false,X ¾
Opekiska St Duplex,72391863,da6ddda0-ad44-11f0-98a7-c3bc57f9afe3,B,Failed Cal,17060,368,55,13,0,11.6,false,M ¾
Oswego MHP,79463202,36541df0-65be-11f1-9333-3b2cfe68422f,LOT04,Failed Cal,17060,368,55,13,0,10.9,false,X ¾
Oswego MHP,79465454,8832b720-65bf-11f1-9333-3b2cfe68422f,LOT29,Failed Cal,17060,368,55,13,0,10.3,false,X ½
Pace East,75369502,cdee3650-f651-11f0-b153-63024d3301e1,11,Failed Cal,17060,368,55,13,1,0.1,false,L ¾
Pace East,75362630,3c543980-4b22-11f1-bc16-b52012ce6db2,21,Failed Cal,17060,368,55,13,0,8.5,false,M ¾
Pace East,75365096,676f5960-4d02-11f1-b1bb-f3574cce671d,54,Failed Cal,17060,368,55,13,1,7.1,false,L ¾
Pace East,75363455,cd98c350-f651-11f0-b153-63024d3301e1,40,Not Metering,16131,0,0,,0,533.3,false,M ¾
Paola MHC,79461156,ff7924f0-39d6-11f1-b198-172a4a9f25c9,12,Not Metering,16048,0,0,,8,2254.7,false,X ¾
Paola MHC,79463194,f041e170-39d6-11f1-b198-172a4a9f25c9,25,Not Metering,16048,0,0,,1,2436.4,false,X ¾
Paradise Village Cooperative MHC,75360048,bc06c5c0-3a93-11f1-b198-172a4a9f25c9,5,Failed Cal,17060,368,55,13,0,8.5,false,X ¾
Parker MHC-CUST,70270440,283aff90-c4e7-11f0-9842-6d029661c338,11,Failed Cal,17060,368,55,6,4,9.8,false,X ¾
Parkview MHP-Cust,77058446,6abfb370-4151-11f0-8e55-b138a1c03c8e,45,Failed Cal,17060,368,55,13,0,10.0,false,X ½
Parkview MHP-Cust,70259468,b48c4c80-666c-11f0-8658-7f4e94e41769,47,Failed Cal,17060,368,55,13,0,10.7,false,X ½
Parkview MHP-Cust,72385303,d17143e0-8495-11f0-8b4a-0d0197d44616,66,Failed Cal,17060,368,55,13,0,9.7,false,X ½
Parkview MHP-Cust,77059808,d0b47960-62b0-11f0-8658-7f4e94e41769,C53OFFICE,Failed Cal,17060,368,55,13,0,10.2,false,X ½
Parkview MHP-Cust,70269061,8bf5ac80-ad39-11f0-98a7-c3bc57f9afe3,52-OLD,Not Metering,16130,296,55,,1,157.5,false,X ¾
Parkway MHC-Cust,75367332,e3542270-0c68-11f1-8768-5551e7a34f27,34,Not Metering,16048,272,45,,0,2438.2,false,X ¾
Parkway MHC-Cust,65831011,191e5b70-bda8-11ef-8f43-73c96c0de66f,38,Not Metering,16022,0,0,,0,14.7,false,X ½
Parkway MHC-Cust,77052118,975f8600-3524-11f0-8e55-b138a1c03c8e,42,Not Metering,16130,0,0,,182,1037.4,false,X ½
Parkway MHC-Cust,77054973,7c363d70-3dc0-11f0-8e55-b138a1c03c8e,48,Not Metering,16048,272,45,,0,2437.8,false,X ¾
Parkwood,79456479,4b2e23c0-5483-11f1-b1bb-f3574cce671d,3103LINDA,Failed Cal,17060,368,55,6,0,9.5,false,X ¾
Parkwood,75365104,d8f21ab0-59f9-11f1-b1bb-f3574cce671d,3368DONNA,Failed Cal,17060,368,55,6,0,10.8,false,X ¾
Parkwood,75362572,97fe2420-5483-11f1-b1bb-f3574cce671d,3392DONNA,Failed Cal,17060,368,55,13,0,11.8,false,X ¾
Parkwood,65830393,eb2c98f0-cf70-11ef-8f43-73c96c0de66f,5192JASON,Failed Cal,17040,354,55,,0,352.8,false,X ¾
Parkwood,68612595,f36d0630-cf70-11ef-8f43-73c96c0de66f,5200JUSTIN-OLD,Failed Cal,17060,368,55,6,132,12.1,false,X ¾
Parkwood,77055855,811b87e0-3db7-11f0-8e55-b138a1c03c8e,5208JUSTIN,Failed Cal,17060,368,55,6,0,9.7,false,X ¾
Parkwood,70264955,1b19aa20-5230-11f0-acb1-514e01860b07,3116CHARI,Not Metering,16048,272,45,,0,2487.6,false,X ¾
Parkwood,70264427,79dfcba0-524b-11f0-acb1-514e01860b07,3121LINDA,Not Metering,16048,272,45,,2,2486.4,false,X ¾
Parkwood,65824891,a75d3e00-cf6f-11ef-8f43-73c96c0de66f,3131LINDA,Not Metering,16048,272,45,,0,2487.6,false,X ¾
Parkwood,77059071,9551db80-524b-11f0-acb1-514e01860b07,3248MARY-OLD,Not Metering,16048,272,45,,176,2454.0,false,X ¾
Parkwood,65822614,aa7b8150-c795-11ef-8f43-73c96c0de66f,3253MARY,Not Metering,362,209,41,,1,3997.6,false,X ¾
Parkwood,70267909,34178340-52c0-11f0-acb1-514e01860b07,3357DONNA,Not Metering,16048,260,100,,0,2486.0,false,X ¾
Parkwood,70268287,2900c6f0-5230-11f0-acb1-514e01860b07,5200JOHN,Not Metering,16048,272,45,,0,2488.0,false,X ¾
Parkwood,75370104,cb526720-59f9-11f1-b1bb-f3574cce671d,5200JUSTIN,Not Metering,16022,260,35,,0,2452.3,false,X ¾
Parkwood,77058867,fa331e40-522f-11f0-acb1-514e01860b07,5202JASON,Not Metering,16048,272,45,,0,2486.8,false,X ¾
Parkwood,70260110,300dbd40-5230-11f0-acb1-514e01860b07,5206JASON,Not Metering,16048,272,45,,0,2486.3,false,X ¾
Piney Park,70264294,eb7483a0-5223-11f0-acb1-514e01860b07,33,Failed Cal,17060,368,55,13,0,9.7,false,P ¾
Pleasant Acres,75362945,5ae05030-0c90-11f1-8768-5551e7a34f27,44,TI Silent,17037,0,0,,0,6.5,false,X ¾
Ponderosa MHC,72385337,0942fa90-842b-11f0-8b4a-0d0197d44616,3,Calibrating,17060,368,40,13,0,9.9,false,X ¾
