group,lever,serial,id,apt,tier,reported,draws,pos,neg,waterFlowDir_to_write
Coleman Village MHC-CUST,15154/260,72388059,e1a6dde0-837f-11f0-8b4a-0d0197d44616,113,PIN,NOT FLIPPED,NOT FLIPPED,5262,0,1
Coleman Village MHC-CUST,15154/260,70266893,3b49d3b0-667b-11f0-8658-7f4e94e41769,116,PIN,NOT FLIPPED,NOT FLIPPED,4866,0,1
Coleman Village MHC-CUST,15154/260,72724380,5f9ee360-c4f7-11f0-9842-6d029661c338,117,PIN,FLIPPED,FLIPPED,1,5564,2
Coleman Village MHC-CUST,15154/260,72722723,91a68160-c4f7-11f0-9842-6d029661c338,118,PIN,FLIPPED,FLIPPED,0,5512,2
Coleman Village MHC-CUST,15154/260,70258411,93e49700-666f-11f0-8658-7f4e94e41769,119,PIN-B,NOT FLIPPED,NOT FLIPPED,1406,415,1
Coleman Village MHC-CUST,15154/260,70268576,544c40f0-666c-11f0-8658-7f4e94e41769,120,PIN,FLIPPED,FLIPPED,0,5774,2
Coleman Village MHC-CUST,15154/260,70273451,924a6f00-666f-11f0-8658-7f4e94e41769,121,PIN,NOT FLIPPED,NOT FLIPPED,5544,0,1
Coleman Village MHC-CUST,15154/260,65822655,5d11fa70-b97b-11ef-8f43-73c96c0de66f,122,PIN,NOT FLIPPED,NOT FLIPPED,1839,0,1
Coleman Village MHC-CUST,15154/260,70266240,7e46b730-9fc6-11f0-b5af-5dfa9891b485,123,PIN,NOT FLIPPED,NOT FLIPPED,5805,1,1
Coleman Village MHC-CUST,15154/260,77028860,52b2ca40-3db1-11f0-8e55-b138a1c03c8e,124,PIN,FLIPPED,FLIPPED,0,3811,2
Coleman Village MHC-CUST,15154/260,70270036,8f01d3b0-666f-11f0-8658-7f4e94e41769,126,PIN,FLIPPED,FLIPPED,4,5845,2
Coleman Village MHC-CUST,15154/260,72723382,ca50f1f0-01ef-11f1-af1d-29d4205d602a,128,PIN,FLIPPED,FLIPPED,0,5752,2
Coleman Village MHC-CUST,15154/260,75373454,5d996ee0-01de-11f1-af1d-29d4205d602a,129,PIN,NOT FLIPPED,NOT FLIPPED,5806,0,1
