serial,id,group,lever,apt,fw,ti,reported,attr,records,conf,quiet,basis,pos,neg,draws,verdict,pin_value,tier
70265085,05528b70-c432-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,74,16185,314,NOT FLIPPED,,3869,MED,116,edge,1650,15,NOT FLIPPED,LOW,1,PIN
72714258,07d5e8b0-c437-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,106,16131,296,FLIPPED,,6000,MED,111,edge,9,5767,FLIPPED,LOW,2,PIN
72720784,082715f0-c437-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,67,16131,296,NOT FLIPPED,,5999,MED,72,edge,5700,0,NOT FLIPPED,LOW,1,PIN
72716592,915eae80-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,93,16131,296,NOT FLIPPED,,6000,MED,87,edge,5499,0,NOT FLIPPED,LOW,1,PIN
72723168,965a9f20-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,94,16165,302,FLIPPED,,6000,MED,-17,edge,44,1969,FLIPPED,LOW,2,PIN
72722210,9bb29270-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,101,16131,296,NOT FLIPPED,,5999,MED,56,edge,5532,0,NOT FLIPPED,LOW,1,PIN
72718259,a4560740-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,82,16131,296,FLIPPED,,5998,MED,23,edge,1,5347,FLIPPED,LOW,2,PIN
72723044,a96c5db0-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,102,16131,296,FLIPPED,,6000,MED,-52,edge,0,4000,FLIPPED,LOW,2,PIN
72722194,b78c8be0-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,77,16131,296,FLIPPED,,0,,,,0,0,,NO-DRAWS,,REPORTED-ONLY
72720214,b8003540-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,104,16131,296,FLIPPED,,6000,MED,64,edge,0,5990,FLIPPED,LOW,2,PIN
72717624,bff827d0-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,98,16131,296,NOT FLIPPED,,6000,MED,22,edge,5561,0,NOT FLIPPED,LOW,1,PIN
72718457,c47f0f80-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,100,16131,296,NOT FLIPPED,,6000,MED,64,edge,5499,4,NOT FLIPPED,LOW,1,PIN
72719927,c6259390-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,89,16185,314,FLIPPED,FLIPPED,5999,MED,-19,edge,1,4728,FLIPPED,LOW,,ATTR-OK
72716030,c916e720-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,84,16131,296,FLIPPED,,6000,MED,-50,edge,7,5618,FLIPPED,LOW,2,PIN
72715859,da351310-c75e-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,75,16131,296,NOT FLIPPED,,5999,MED,28,edge,5201,0,NOT FLIPPED,LOW,1,PIN
72722061,9f725750-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,76,16131,296,NOT FLIPPED,,5998,MED,28,edge,5406,0,NOT FLIPPED,LOW,1,PIN
72718481,9f7b7f10-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,72,16131,296,NOT FLIPPED,,5997,MED,55,edge,5724,0,NOT FLIPPED,LOW,1,PIN
72718994,a2f58aa0-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,65,16131,296,FLIPPED,,6000,MED,-19,edge,2,5727,FLIPPED,LOW,2,PIN
72715370,a69ee390-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,26,16131,296,NOT FLIPPED,,6000,MED,-23,edge,5708,2,NOT FLIPPED,LOW,1,PIN
72714043,a6a85970-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,13,16131,296,NOT FLIPPED,,1615,MED,-374,edge,539,130,NOT FLIPPED,LOW,1,PIN
72719885,aa4c0d10-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,39,16131,296,NOT FLIPPED,,6000,MED,154,edge,5762,5,NOT FLIPPED,LOW,1,PIN
72720271,ac9e1360-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,17,16131,296,FLIPPED,,56,,,,0,0,,NO-DRAWS,,NO-DRAWS
72714860,afc3bd60-c813-11f0-9842-6d029661c338,Kay Bee Mobile Villa MHP,16131/296,41,16131,296,FLIPPED,,6000,MED,-162,edge,1,4847,FLIPPED,LOW,2,PIN
