group,device,fwVer,sessions,completed,hung_est,days_with_records_of_7,rsrp_med
Highlands MHC,Device 75362820,362,10,13,0,5,-96.0
Highlands MHC,Device 75362119,362,9,11,0,1,-106.0
Highlands MHC,Device 75373272,362,9,13,0,6,-110.0
Highlands MHC,Device 75363232,16022,46,46,0,7,-93.0
Highlands MHC,Device 75371896,362,10,12,0,5,-102.0
Highlands MHC,Device 75368587,17040,10,10,0,4,-94.0
Highlands MHC,Device 72718036,362,9,11,0,7,-97.0
Highlands MHC,Device 75363521,362,13,13,0,7,-93.0
Highlands MHC,Device 72719489,16185,38,38,0,6,-88.0
Highlands MHC,Device 65822887,,0,0,0,,
Oak Forest Estate MHC,Device 75374072,17037,7,6,0,7,-97.0
Oak Forest Estate MHC,Device 75363554,17037,15,22,0,4,-111.0
Oak Forest Estate MHC,Device 72723671,17037,7,6,0,7,-110.0
Oak Forest Estate MHC,Device 75368561,17037,7,6,0,0,-120.0
Oak Forest Estate MHC,Device 75373876,17037,6,6,0,2,-120.0
Oak Forest Estate MHC,Device 72723572,17037,7,6,0,7,-110.0
Oak Forest Estate MHC,Device 72724075,17040,7,6,0,3,-109.0
Oak Forest Estate MHC,Device 75364487,17037,7,6,0,7,-105.0
Oak Forest Estate MHC,Device 75367977,17037,7,6,0,5,-116.0
Oak Forest Estate MHC,Device 75362960,17037,7,6,0,0,-104.0
Oak Forest Estate MHC,Device 75370054,17037,6,6,0,2,-116.0
Oak Forest Estate MHC,Device 72390659,17037,8,6,1,7,-111.0
Oak Forest Estate MHC,Device 72390733,17037,9,6,2,4,-109.0
Oak Forest Estate MHC,Device 72389206,,0,0,0,,
Oak Forest Estate MHC,Device 72382581,17037,7,6,0,7,-106.0
Oak Forest Estate MHC,Device 72385352,17037,7,6,0,5,-118.0
Oak Forest Estate MHC,Device 72378126,17037,7,6,0,7,-108.0
Oak Forest Estate MHC,Device 72390998,17037,7,6,0,6,-113.0
Oak Forest Estate MHC,Device 70259153,17037,7,6,0,7,-111.0
Oak Forest Estate MHC,Device 70259732,17037,7,6,0,7,-109.0
Oak Forest Estate MHC,Device 70273428,17037,7,6,0,7,-111.0
